r/R,rho(r),L(r),M(r),T(r),Pgas,Pdeg,Ppho,P,dlogP/dlogT,kappa,kappaff,kappaHm,kappaes,dL/dr,dLpp/dr,dLcno/dr
6.310292489714516e-22,18.204763920017626,1.1112761015916331e-24,7.625593678861853e-29,25000000.0,608608217829375.8,12497603159635.822,9850316877918.613,630956137866930.1,2.5058746305924133,0.34,0.03334145009871838,4.069046120687627e+36,0.34,3.3338283047749e-14,8.529427050093666e-17,3.325298877724806e-14
0.00021944261575597982,18.204754281764394,4.673414398650627e+28,3.206918826897603e+24,24999991.071395148,608607678249637.9,12497592131840.812,9850302805992.219,630955573187470.9,2.501965117156294,0.34,0.03334147941919463,4.0690319644345674e+36,0.34,4.031648421656517e+21,1.0314822100869528e+19,4.021333599555647e+21
0.00043888523151195964,18.204725553374942,3.7386768614064325e+29,2.565532630390827e+25,24999964.387677945,608606068227875.4,12497559261718.03,9850260751213.42,630953888240806.8,2.5011799731718143,0.34,0.03334156714318865,4.068989666323628e+36,0.34,1.6126200960761698e+22,4.125898203201772e+19,1.608494197872968e+22
0.0006583278472679394,18.204677734929835,1.2617727286270856e+30,8.658658974653668e+25,24999919.948908284,608603387772328.9,12497504549428.582,9850190713945.418,630951083035702.9,2.5008431116392056,0.34,0.03334171327113467,4.0689192272357765e+36,0.34,3.628248071593055e+22,9.283156182924419e+19,3.6189649154101303e+22
0.0008777704630239193,18.204610826563115,2.9907668205150036e+30,2.052418340481228e+26,24999857.755167883,608599636896279.0,12497427995240.586,9850092694764.658,630947157586284.4,2.5006558734472986,0.34,0.03334191780384009,4.068820648611674e+36,0.34,6.449852716217635e+22,1.6503103234858982e+20,6.4333496129827765e+22
0.0010972130787798991,18.204524828462297,5.841085710841171e+30,4.008618206185913e+26,24999777.806571104,608594815618307.0,12497329599529.139,9849966694477.902,630942111912314.0,2.5005366871481005,0.34,0.03334218074243501,4.0686939324674637e+36,0.34,1.0077159638800673e+23,2.5785525332178302e+20,1.0051374113468495e+23
0.0013166556945358788,18.204419740868367,1.0092856111565983e+31,6.926868263257525e+26,24999680.10326492,608588923962295.4,12497209362776.334,9849812714122.139,630935946039193.9,2.500454155755633,0.34,0.03334250208837238,4.068539081394665e+36,0.34,1.4509816142722552e+23,3.713014734338371e+20,1.4472685995379168e+23
0.001536098310291859,18.204295564075785,1.6026068473722176e+31,1.0999565224400358e+27,24999564.64542894,608581961957428.0,12497067285571.234,9849630754964.607,630928659997963.9,2.5003936245947496,0.34,0.0333428818434279,4.068356098560109e+36,0.34,1.9747391268539216e+23,5.053663304227952e+20,1.9696854635496935e+23
0.0017555409260478386,18.204152298432483,2.3920549780015247e+31,1.6419098535833572e+27,24999431.43327539,608573929638189.2,12496903368609.89,9849420818502.783,630920253825301.9,2.500347331797759,0.34,0.03334332000970012,4.068144987705822e+36,0.34,2.5789375846087606e+23,6.600458512016191e+20,2.572337126096744e+23
0.0019749835418038184,18.203989944339856,3.405593635721522e+31,2.3377849166832054e+27,24999280.467049118,608564827044363.9,12496717612695.334,9849182906464.33,630910727563523.5,2.5003107810833733,0.34,0.03334381658961044,4.067905753148897e+36,0.34,3.263518255604234e+23,8.353354520022143e+20,3.255164901084212e+23
