r/R,rho(r),L(r),M(r),T(r),Pgas,Pdeg,Ppho,P,dlogP/dlogT,kappa,kappaff,kappaHm,kappaes,dL/dr,dLpp/dr,dLcno/dr
1e-09,21.539880561828614,0.0,0.0,41000000.0,1208310146061163.2,16542093174210.217,71256681654436.3,1296108920889809.8,2.1165242312217827,0.346,0.0039059156698130998,3.798537030707603e+38,0.346,954530496796567.2,939423392.8169588,954529557373174.4
0.00010001100090009001,21.539879946304715,3.1828179212735396e+31,9.025581998113995e+22,40999999.17113264,1208310087104945.5,16542092386365.12,71256675892257.19,1296108855383567.8,2.1165242307795205,0.346,0.003905915868053017,3.7985362853036524e+38,0.346,9.547400835800318e+24,9.396299645585287e+18,9.547391439500673e+24
0.00020002100180018,21.539878111944617,2.5462161708344336e+32,7.220357303901912e+23,40999996.70097468,1208309911405951.0,16542090038460.258,71256658720039.36,1296108660164450.8,2.1165242294615076,0.346,0.0039059164588399198,3.798534063880853e+38,0.346,3.8189169199510294e+25,3.75848073135045e+19,3.8189131614702983e+25
0.00030003100270027005,21.539875058749605,8.593457333226974e+32,2.436858769380482e+24,40999992.589527704,1208309618964323.5,16542086130497.53,71256630137799.98,1296108335232621.0,2.116524227267745,0.346,0.0039059174421736806,3.798530366442949e+38,0.346,8.592514848276587e+25,8.456547670484188e+19,8.592506391728916e+25
0.00040004100360036,21.539870786719746,2.036961725154226e+33,5.776243236515248e+24,40999986.83679169,1208309209780107.2,16542080662477.482,71256590145549.2,1296107880588133.8,2.1165242241982325,0.346,0.0039059188180547116,3.7985251929937814e+38,0.346,1.5275507784561731e+26,1.5033823070483445e+20,1.5275492750738661e+26
0.00050005100450045,21.539865295854995,3.978424655983635e+33,1.1281706350028335e+25,40999979.44276638,1208308683853349.8,16542073634400.664,71256538743299.73,1296107296231050.2,2.1165242202529693,0.346,0.003905920586483643,3.7985185435385306e+38,0.346,2.38678592219154e+26,2.349029613839357e+20,2.3867835731619257e+26
0.0006000610054005401,21.53985858615562,6.874683966579897e+33,1.949476433519254e+25,40999970.407451905,1208308041184144.0,16542065046268.227,71256475931070.83,1296106582161483.0,2.1165242154319546,0.346,0.003905922747461182,3.798510418084244e+38,0.346,3.4369522230792594e+26,3.382595299980159e+20,3.4369488404839585e+26
0.0007000710063006301,21.539850657622203,1.0916683475075315e+34,3.0956932424319556e+25,40999959.730848715,1208307281772626.2,16542054898081.87,71256401708888.38,1296105738379596.5,2.1165242097351884,0.346,0.003905925300988116,3.7985008166398234e+38,0.346,4.678043945930998e+26,4.6040776698862993e+20,4.678039341853328e+26
0.0008000810072007201,21.539841510255627,1.6295361376965568e+34,4.620972485676005e+25,40999947.412957594,1208306405618975.8,16542043189843.879,71256316076784.52,1296104764885604.0,2.1165242031626703,0.346,0.0039059282470653243,3.798489739216005e+38,0.346,6.1100543133634015e+26,6.013474719833559e+20,6.110048299888681e+26
0.00090009100810081,21.539831144057093,2.3201650245109706e+34,6.5794654878903665e+25,40999933.45377969,1208305412723416.8,16542029921557.12,71256219034798.11,1296103661679772.2,2.1165241957144,0.346,0.0039059315856937614,3.798477185825393e+38,0.346,7.732975505844387e+26,7.61078413796204e+20,7.73296789506025e+26
0.0010001010090009,21.539819559028118,3.182647702973009e+34,9.025323474417889e+25,40999917.853316486,1208304303086218.5,16542015093225.03,71256110582974.42,1296102428762417.8,2.1165241873903775,0.346,0.003905935316874466,3.798463156482439e+38,0.346,9.54679866174672e+26,9.396003304280964e+20,9.546789265743414e+26
0.00110011100990099,21.539806755170513,4.236076305841248e+34,1.2012697571305323e+26,40999900.6115698,1208303076707691.5,16541998704851.61,71255990721365.14,1296101066133908.2,2.116524178190602,0.346,0.0039059394406085633,3.798447651203438e+38,0.346,1.1551513877408719e+27,1.1369129290674103e+21,1.1551502508279427e+27
0.0012001210108010803,21.539792732486422,5.499542402093658e+34,1.559573880495807e+26,40999881.72854181,1208301733588192.8,16541980756441.457,71255859450028.6,1296099573794662.8,2.116524168115074,0.346,0.003905943956897258,3.798430670006547e+38,0.346,1.3747110207202857e+27,1.3530158860906052e+21,1.3747096677043997e+27
0.0013001310117011701,21.539777490984008,6.99213508884699e+34,1.9828597643507413e+26,40999861.20424228,1208300273728657.8,16541961248007.057,71255716769080.02,1296097951745744.8,2.116524157163799,0.346,0.003905948865740141,3.798412212918333e+38,0.346,1.61335756636764e+27,1.5879088470648682e+21,1.613355978458793e+27
0.00140014101260126,21.539761030669442,8.732945039454481e+34,2.4765424885145342e+26,40999839.03867846,1208298697129850.8,16541940179558.504,71255562678621.11,1296096199988030.5,2.1165241453367782,0.346,0.0039059541671375582,3.798392279964603e+38,0.346,1.871089721758088e+27,1.841591426747262e+21,1.8710878801666612e+27
0.0015001510135013501,21.53974335154315,1.0741063395585077e+35,3.0460371537209158e+26,40999815.23185022,1208297003792014.0,16541917551098.734,71255397178706.58,1296094318521819.5,2.1165241326340114,0.346,0.0039059598610917353,3.798370871166067e+38,0.346,2.1479060797889715e+27,2.1140632090833686e+21,2.1479039657257625e+27
0.00160016101440144,21.539724453605803,1.3035578616689595e+35,3.6967588129574175e+26,40999789.78375775,1208295193715428.8,16541893362631.166,71255220269397.34,1296092307347457.5,2.116524119055496,0.346,0.0039059659476049823,3.7983479865452434e+38,0.346,2.4438051291941697e+27,2.4053237472095597e+21,2.4438027238704227e+27
0.0017001710153015301,21.53970433685834,1.5635576480000732e+35,4.434122471465373e+26,40999762.69440147,1208293266900414.8,16541867614159.748,71255031950760.0,1296090166465334.8,2.11652410460123,0.346,0.003905972426679728,3.798323626126412e+38,0.346,2.758785254554073e+27,2.715372563453825e+21,2.75878253918151e+27
0.00180018101620162,21.539683001301945,1.856014008053304e+35,5.2635430867399154e+26,40999733.9637821,1208291223347331.0,16541840305688.895,71254832222867.47,1296087895875887.2,2.116524089271212,0.346,0.0039059792983184853,3.798297789935662e+38,0.346,3.092844736306472e+27,3.0442091493366846e+21,3.0928416920973224e+27
0.0019001910171017099,21.53966044693807,2.182834983108297e+35,6.190435568529986e+26,40999703.59190061,1208289063056574.2,16541811437223.56,71254621085798.42,1296085495579596.2,2.1165240730654395,0.346,0.0039059865625238797,3.798270478000846e+38,0.346,3.4459817507580513e+27,3.3918329655721774e+21,3.4459783589250857e+27
0.0020002010180017998,21.539636673768413,2.5459283462228826e+35,7.22021477883832e+26,40999671.578758255,1208286786028581.8,16541781008769.195,71254398539637.67,1296082965576988.5,2.116524055983912,0.346,0.0039059942192986264,3.798241690351627e+38,0.346,3.81819437009659e+27,3.758243442068878e+21,3.818190611853148e+27
0.0021002110189018903,21.539611681794934,2.9472016022330807e+35,8.358295531921465e+26,40999637.92435656,1208284392263827.0,16541749020331.729,71254164584475.95,1296080305868634.8,2.116524038026627,0.346,0.0039060022686455446,3.798211427019437e+38,0.346,4.209480562404008e+27,4.143439977931025e+21,4.2094764189640307e+27
0.00220022101980198,21.539585471019844,3.3885619877530935e+35,9.61009259428975e+26,40999602.62869731,1208281881762825.5,16541715471917.633,71253919220410.06,1296077516455153.0,2.1165240191935824,0.346,0.0039060107105675533,3.798179688037502e+38,0.346,4.619838191669984e+27,4.5474219414596836e+21,4.619833644248042e+27
0.00230023102070207,21.539558041445613,3.8719164711753204e+35,1.0981020684707338e+27,40999565.69178259,1208279254526128.5,16541680363533.857,71253662447542.73,1296074597337205.0,2.116523999484778,0.346,0.003906019545067672,3.798146473440834e+38,0.346,5.049265017806403e+27,4.970188670154004e+21,5.049260047617734e+27
0.00240024102160216,21.539529393074968,4.3991717526703374e+35,1.2476494474192168e+27,40999527.113614716,1208276510554328.0,16541643695187.873,71253394265982.73,1296071548515498.8,2.1165239789002106,0.346,0.0039060287721490177,3.798111783266228e+38,0.346,5.49775869666248e+27,5.4117394707125e+21,5.497753284923009e+27
0.00250025102250225,21.53949952591089,4.972234264186912e+35,1.4101928586015982e+27,40999486.89419632,1208273649848054.2,16541605466887.625,71253114675844.88,1296068369990786.8,2.1165239574398806,0.346,0.0039060383918148077,3.798075617552275e+38,0.346,5.965316780040596e+27,5.872073619034449e+21,5.965310907966976e+27
0.0026002610234023404,21.539468439956618,5.5930101694520036e+35,1.5862737595704348e+27,40999445.03353025,1208270672407975.5,16541565678641.61,71252823677249.78,1296065061763866.8,2.116523935103785,0.346,0.0039060484040683665,3.798037976339326e+38,0.346,6.451936715712859e+27,6.351190360221318e+21,6.4519303645225e+27
0.00270027102430243,21.53943613521564,6.263405363970748e+35,1.7764336031036601e+27,40999401.53161969,1208267578234799.8,16541524330458.78,71252521270324.31,1296061623835582.8,2.1165239118919232,0.346,0.0039060588089131023,3.797998859669556e+38,0.346,6.957615847438504e+27,6.849088908578279e+21,6.957608998349597e+27
0.00280028102520252,21.539402611691717,6.985325475026483e+35,1.9812138372045904e+27,40999356.38846805,1208264367329273.8,16541481422348.629,71252207455201.17,1296058056206823.8,2.116523887804294,0.346,0.003906069606352538,3.797958267586898e+38,0.346,7.482351414981785e+27,7.365768447615786e+21,7.482344049213338e+27
0.00290029102610261,21.539367869388844,7.76067586168072e+35,2.2011559051019206e+27,40999309.604079016,1208261039692182.8,16541436954321.133,71251882232019.06,1296054358878523.0,2.116523862840895,0.346,0.003906080796390294,3.797916200137074e+38,0.346,8.026140554130681e+27,7.901228130051177e+21,8.026132652902551e+27
0.0030003010270027003,21.539331908311283,8.591361614773172e+35,2.4368012452497288e+27,40999261.17845657,1208257595324350.2,16541390926386.775,71251545600922.8,1296050531851659.8,2.1165238370017265,0.346,0.003906092379030081,3.7978726573676044e+38,0.346,8.588980296716557e+27,8.455467077810448e+21,8.588971841249481e+27
