r/R,rho(r),L(r),M(r),T(r),Pgas,Pdeg,Ppho,P,dlogP/dlogT,kappa,kappaff,kappaHm,kappaes,dL/dr,dLpp/dr,dLcno/dr
1e-09,15.754550743103028,0.0,0.0,29000000.0,625108343988469.0,9821888890482.98,17835371447631.754,652765604326583.9,2.119259421282262,0.346,0.01054356017732453,1.4395441912691427e+37,0.346,519447232674.42865,125789213.07479756,519321443461.3539
0.00010001100090009001,15.754550254629141,1.732063101527821e+28,6.601429154679659e+22,28999999.38342198,625108311316202.0,9821888382932.678,17835369930818.285,652765569629953.0,2.1192594208111486,0.346,0.010543560733085192,1.4395438934930803e+37,0.346,5.195612747007282e+21,1.2581687198630787e+18,5.194354578287419e+21
0.00020002100180018,15.75454878922707,1.3856277681559712e+29,5.281063645386137e+23,28999997.53371261,625108213300715.2,9821886860302.19,17835365380439.19,652765465541456.6,2.1192594193978285,0.346,0.010543562400345166,1.43954300017715e+37,0.346,2.0782212947367174e+22,5.032622338165857e+18,2.0777180325029e+22
0.00030003100270027005,15.754546346897,4.676462354530198e+29,1.7823498749789825e+24,28999994.450872034,625108049942034.0,9821884322591.896,17835357796496.57,652765292061122.5,2.1192594170423007,0.346,0.010543565179105062,1.439541511322414e+37,0.346,4.675970988412721e+22,1.1323354194507575e+19,4.6748386529932715e+22
0.00040004100360036,15.75454292764064,1.1084921740781518e+30,4.224818798268328e+24,28999990.134902142,625107821240291.8,9821880769803.889,17835347178997.977,652765049189093.6,2.119259413744567,0.346,0.010543569069364435,1.4395394269314478e+37,0.346,8.312795236273357e+22,2.0130353188063752e+19,8.31078220095455e+22
0.00050005100450045,15.75453853145933,2.1650217849542228e+30,8.251587126212175e+24,28999984.585804336,625107527195606.1,9821876201939.996,17835333527950.918,652764736925497.0,2.1192594095046284,0.346,0.010543574071123767,1.439536747007249e+37,0.346,1.2988672871270689e+23,3.1453603777740616e+19,1.2985527510892913e+23
0.0006000610054005401,15.754533158352928,3.741150234530938e+30,1.425872740180386e+25,28999977.803578235,625107167808008.1,9821870619000.645,17835316843359.69,652764355270368.4,2.1192594043224835,0.346,0.010543580184385571,1.4395334715526148e+37,0.346,1.8703576678896755e+23,4.52930859821932e+19,1.8699047370298535e+23
0.0007000710063006301,15.754526808321584,5.940787525902244e+30,2.264231090687287e+25,28999969.788223725,625106743077555.6,9821864020986.674,17835297125230.387,652763904223772.8,2.1192593981981314,0.346,0.010543587409152632,1.4395296005711328e+37,0.346,2.545747339737783e+23,6.1648775379866575e+19,2.545130851983984e+23
0.0008000810072007201,15.754519481365717,8.867838499676758e+30,3.3798407662287815e+25,28999960.539740976,625106253004333.0,9821856407899.348,17835274373570.977,652763383785803.4,2.1192593911315707,0.346,0.010543595745427964,1.439525134067193e+37,0.346,3.3250323717911334e+23,8.052064310904586e+19,3.3242271653600424e+23
0.00090009100810081,15.754511177486041,1.2626202833977751e+31,4.812308642795634e+25,28999950.05813043,625105697588452.4,9821847779740.342,17835248588391.246,652762793956583.9,2.119259383122801,0.346,0.010543605193214834,1.439520072045978e+37,0.346,4.208208228494789e+23,1.0190865586791666e+20,4.20718914193611e+23
0.0010001010090009,15.754501896683538,1.7319775044443155e+31,6.60124147028252e+25,28999938.343392793,625105076830051.9,9821838136511.748,17835219769702.824,652762134736266.4,2.1192593741718206,0.346,0.01054361575251677,1.439514414513465e+37,0.346,5.195269769651847e+23,1.2581277591463664e+20,5.194011641892699e+23
0.00110011100990099,15.754491638959475,2.3052444484225566e+31,8.786245872488026e+25,28999925.39552907,625104390729297.4,9821827478216.088,17835187917519.184,652761406125032.8,2.1192593642786313,0.346,0.010543627423337521,1.4395081614764328e+37,0.346,6.286211250460805e+23,1.52232961067418e+20,6.28468892085013e+23
