r/R,rho(r),L(r),M(r),T(r),Pgas,Pdeg,Ppho,P,dlogP/dlogT,kappa,kappaff,kappaHm,kappaes,dL/dr,dLpp/dr,dLcno/dr
2.0633512153049013e-09,114.77614154815674,0.0,0.0,18000000.0,2826671894110139.5,268908386056826.72,2647159973315.544,3098227440140282.0,2.272983307580584,0.346,0.22471829142536232,5.312737584488442e+35,0.346,3073143305.431632,990906378.8671999,2082236926.5644324
0.0002063578202510603,114.77610064876697,1.0247166253794272e+26,4.809317606453349e+23,17999995.720454242,2826670214804222.5,268908226351922.9,2647157455840.3896,3098225598611986.0,2.272983304349758,0.346,0.2247184223677577,5.3127252698775655e+35,0.346,3.0738065024759677e+19,9.911227591767511e+18,2.082683743299216e+19
0.0004127135771509053,114.77597795242116,8.19760477639534e+26,3.8473961327646583e+24,17999982.882003963,2826665176963619.5,268907747244559.56,2647149903535.701,3098220074111714.5,2.272983294657419,0.346,0.22471881518987674,5.3126883267368875e+35,0.346,1.2294947232825152e+20,3.964431609713597e+19,8.330515623111554e+19
0.0006190693340507504,114.7757734593568,2.7666478746218107e+27,1.2984885261500523e+25,17999961.48466523,2826656780605322.0,268906948736346.9,2647137316443.25,3098210866658112.0,2.2729832785035633,0.346,0.22471946989315703,5.312626755573646e+35,0.346,2.7662954691708712e+20,8.919867193171401e+19,1.874308749853731e+20
0.0008254250909505952,114.77548716980624,6.557827007535376e+27,3.0778856389384114e+25,17999931.528448608,2826645025751081.0,268905830829330.4,2647119694623.116,3098197976275034.5,2.2729832558881644,0.346,0.2247203864804787,5.312540557186368e+35,0.346,4.917704975284026e+20,1.585733058043802e+20,3.3319719172402237e+20
0.0010317808478504402,114.77511908428451,1.2807896501529483e+28,6.011472922418097e+25,17999893.01338695,2826629912438854.0,268904393527114.47,2647097038170.037,3098181403004138.5,2.27298322681121,0.346,0.224721564955345,5.312429732745335e+35,0.346,7.683614172085724e+20,2.4776683274239525e+20,5.205945844661771e+20
0.0012381366047502854,114.77466920359092,2.213136047840932e+28,1.0387788594832706e+26,17999845.93953552,2826611440722866.5,268902636834868.88,2647069347213.4795,3098161146904949.0,2.272983191272701,0.346,0.2247230053218789,5.312294283792925e+35,0.346,1.1063882841303232e+21,3.567774721266422e+20,7.49610812003681e+20
0.0014444923616501303,114.77413752919333,3.5142580260808604e+28,1.6495364566052954e+26,17999790.30700885,2826589610688863.0,268900560760829.16,2647036621939.3125,3098137208071631.5,2.272983149272697,0.346,0.22472470758373908,5.312134212350346e+35,0.346,1.5058339627068002e+21,4.856030477452047e+20,1.0202309149615954e+21
0.0016508481185499753,114.77352406297346,5.245578419892787e+28,2.4622727198750684e+26,17999726.115957543,2826564422444190.0,268898165315302.0,2646998862576.1685,3098109586622068.0,2.2729831008112797,0.346,0.224726671744785,5.3119495208500816e+35,0.346,1.9666782049302584e+21,6.342409878558147e+20,1.3324372170744437e+21
0.0018572038754498203,114.77282880568698,7.468507703544411e+28,3.505840005879489e+26,17999653.366420608,2826535876056684.0,268895450504652.3,2646956069308.5757,3098078282630645.0,2.272983045888373,0.346,0.22472889781341823,5.311740211708004e+35,0.346,2.4888976516023016e+21,8.02688325213953e+20,1.6862093263883485e+21
0.0020635596323496652,114.77205175826867,1.0244418734863854e+29,4.809089166281888e+26,17999572.058449287,2826503971606261.0,268892416336399.5,2646908242349.796,3098043296185010.0,2.272982984503902,0.346,0.2247313857989611,5.311506287682426e+35,0.346,3.072465834136083e+21,9.909416971551691e+20,2.081524136980914e+21
0.00226991538924951,114.7711929218916,1.3634645893671982e+29,6.400869503758057e+26,17999482.192112707,2826468709187258.0,268889062819448.47,2646855381945.1523,3098004627388651.5,2.2729829166577966,0.346,0.22473413571149056,5.311247751890427e+35,0.346,3.717353176515488e+21,1.1989973456775823e+21,2.5183558308379057e+21
0.0024762711461493556,114.77025229796699,1.7700485081782425e+29,8.310028771996261e+26,17999383.76749786,2826430088908429.5,268885389964089.4,2646797488372.01,3097962276360890.5,2.27298284235,0.346,0.22473714756183902,5.310964607807725e+35,0.346,4.4235269974844726e+21,1.4268511175341292e+21,2.9966758799503435e+21
0.0026826269030492005,114.76922988814442,2.2503193723001528e+29,1.0565413175697212e+27,17999276.78470961,2826388110892948.0,268881397781998.0,2646734561939.779,3097916243236886.0,2.2729827615804616,0.346,0.22474042136159442,5.310656859268618e+35,0.346,5.190951512972562e+21,1.6744984643353693e+21,3.516453048637192e+21
0.002888982659949045,114.76812569431166,2.8103990763128426e+29,1.3195867370574105e+27,17999161.243870694,2826342775278406.5,268877086286235.12,2646666602989.916,3097866528167632.0,2.2729826743491377,0.346,0.2247439571231,5.310324510465894e+35,0.346,6.019587838756527e+21,1.941934442662864e+21,4.077653396093663e+21
0.00309533841684889,114.76693971859468,3.4564056669954966e+29,1.623023446335259e+27,17999037.145121727,2826294082216814.0,268872455491246.62,2646593611895.9185,3097813131319957.0,2.272982580655995,0.346,0.2247477548594542,5.309967565950742e+35,0.346,6.909393993357694e+21,2.2291537141931025e+21,4.6802402791645915e+21
0.003301694173748735,114.76567196335779,4.194453343326578e+29,1.9697356011770782e+27,17998904.488621194,2826242031874597.0,268867505412864.0,2646515589063.3203,3097756052876524.0,2.272982480501008,0.346,0.22475181458451104,5.3095860306326304e+35,0.346,7.860324901174747e+21,2.536150545831989e+21,5.324174355342756e+21
0.00350804993064858,114.76432243120344,5.0306524564838196e+29,2.3626072024579258e+27,17998763.274545453,2826186624432596.0,268862236068303.5,2646432534929.6875,3097695293035829.5,2.2729823738841595,0.346,0.22475613631288002,5.3091799097791964e+35,0.346,8.872332395851573e+21,2.862918809859866e+21,6.00941358599171e+21
0.003714405687548425,114.76289112497238,5.971109509844235e+29,2.804522096154107e+27,17998613.503088735,2826127860086070.0,268856647476166.47,2646344449964.6147,3097630852012201.0,2.27298226080544,0.346,0.22476072005992648,5.308749209016113e+35,0.346,9.945365223879995e+21,3.209451984087086e+21,6.735913239792909e+21
0.00392076144444827,114.76137804774362,7.021927158984111e+29,3.298363973343174e+27,17998455.174463145,2826065739044688.0,268850739656439.12,2646251334669.7217,3097562730035797.0,2.272982141264849,0.346,0.22476556584177107,5.308293934326973e+35,0.346,1.1079369048437014e+22,3.5757431520201414e+21,7.503625896416873e+21
0.004127117201348115,114.75978320283437,8.189204211679004e+29,3.847016370203921e+27,17998288.288898654,2826000261532534.0,268844512630492.72,2646153189578.641,3097490927352606.0,2.272982015262395,0.346,0.2247706736752908,5.307814092053109e+35,0.346,1.227428645345577e+22,3.961785003038285e+21,8.312501450417483e+21
0.004333472958247961,114.75810659380008,9.479035627903755e+29,4.4533626680163964e+27,17998112.846643116,2825931427788105.0,268837966421083.0,2646050015257.029,3097415444224445.5,2.2729818827980948,0.346,0.22477604357811776,5.3073096888934954e+35,0.346,1.353005694793076e+22,4.367569832580741e+21,9.162487115350016e+21
0.004539828715147805,114.75634822589303,1.0897498168265856e+30,5.120285169054498e+27,17997928.84809867,2825859238121642.5,268831101058045.38,2645941812382.764,3097336280992070.5,2.27298174387216,0.346,0.2247816755646771,5.306780732300277e+35,0.346,1.4846616972494608e+22,4.793089542611518e+21,1.005352742988309e+22
0.00474618447204765,114.75450810454224,1.2450659163168294e+30,5.850665790310468e+27,17997736.293682847,2825783692855892.0,268823916572359.3,2645828581664.2617,3097253438009916.0,2.2729815984847894,0.346,0.22478756965017332,5.306227230074743e+35,0.346,1.6223899902856179e+22,5.238335641651294e+21,1.0985564261204881e+22
0.004952540228947496,114.75258623269298,1.4144599924796685e+30,6.647387627296271e+27,17997535.183578566,2825704792221336.0,268816412985761.06,2645710323693.453,3097166915530790.5,2.2729814466358294,0.346,0.22479372585787155,5.305649189642291e+35,0.346,1.7661836050422605e+22,5.703299244421959e+21,1.1958536806000648e+22
0.00515889598584734,114.75058261347553,1.59853915583629e+30,7.513333352688215e+27,17997325.517981503,2825622536460750.0,268808590321163.62,2645587039091.263,3097076713821005.0,2.272981288325129,0.346,0.22480014421194408,5.305046618770568e+35,0.346,1.916035267048824e+22,6.187971072463579e+21,1.2972381598024664e+22
0.0053652517427471855,114.7484972502294,1.7979094738171954e+30,8.451385201622139e+27,17997107.29710232,2825536925830153.5,268800448602751.16,2645458728508.911,3096982833161413.5,2.272981123552541,0.346,0.2248068247374061,5.304419525575753e+35,0.346,2.071937396763424e+22,6.692341454365272e+21,1.4027032513268968e+22
0.00557160749964703,114.74633014650321,2.0131759707621963e+30,9.464424971693377e+27,17996880.521166697,2825447960598804.0,268791987855978.3,2645325392627.922,3096885273847410.0,2.2729809523179236,0.346,0.22481376746011483,5.3037679185224465e+35,0.346,2.233882110132698e+22,7.216400326002292e+21,1.5122420775324683e+22
0.005777963256546875,114.74408130605477,2.2449426279204204e+30,1.0555334022956796e+28,17996645.1904153,2825355641049199.0,268783208107570.88,2645187032160.108,3096784036188930.0,2.2729807746211423,0.346,0.22482097240677046,5.3030918064234225e+35,0.346,2.4018612191742967e+22,7.760137230783194e+21,1.6258474960959773e+22
0.0059843190134467195,114.74175073285102,2.4938123834503048e+30,1.172699327792675e+28,17996401.305103805,2825259967477073.5,268774109385524.66,2645043647847.5693,3096679120510446.0,2.2729805904620664,0.346,0.22482843960491578,5.302391198439454e+35,0.346,2.5758662325822036e+22,8.323541319907194e+21,1.7435121005914843e+22
0.006190674770346565,114.7393384310681,2.760387132419604e+30,1.2982283221577141e+28,17996148.86550288,2825160940191398.5,268764691719106.56,2644895240462.6826,3096570527150968.0,2.2729803998405695,0.346,0.22483616908293685,5.301666104079083e+35,0.346,2.7558883563546115e+22,8.906601352631611e+21,1.86522822109145e+22
0.0063970305272464095,114.73684440509132,3.0452677268053793e+30,1.4324083901341344e+28,17995887.871898193,2825058559514380.5,268754955138853.62,2644741810808.095,3096458256464042.0,2.2729802027565333,0.346,0.22484416087006284,5.300916533198412e+35,0.346,2.9419184944444984e+22,9.509305696549503e+21,1.990987924789548e+22
0.006603386284146255,114.73426865951515,3.3490539754940125e+30,1.5755274927112281e+28,17995618.32459042,2824952825781458.5,268744899676573.12,2644583359716.7207,3096342308817748.5,2.2729799992098423,0.346,0.2248524149963662,5.3001424960008884e+35,0.346,3.1339472494326266e+22,1.0131642327877328e+22,2.1207830166448936e+22
0.0068097420410461,114.7316111991432,3.6723446442811924e+30,1.727873547124237e+28,17995340.22389523,2824843739341305.0,268734525365342.5,2644419888051.731,3096222684594699.0,2.2729797892003885,0.346,0.22486093149276268,5.299344003037059e+35,0.346,3.3319649232231466e+22,1.0773598831752843e+22,2.254605040047862e+22
0.007016097797945945,114.72887202898828,4.015737455871921e+30,1.8897344268543538e+28,17995053.570143297,2824731300555822.0,268723832239509.38,2644251396706.5454,3096099384192038.0,2.272979572728067,0.346,0.22486971039101183,5.298521065204327e+35,0.346,3.535961517761423e+22,1.1435162402542936e+22,2.3924452775071287e+22
0.00722245355484579,114.72605115427234,4.379829089880519e+30,2.0613979616287248e+28,17994758.36368029,2824615509800141.5,268712820334690.88,2644077886604.8203,3095972408021437.0,2.2729793497927804,0.346,0.2248787517237172,5.2976736937466854e+35,0.346,3.745926735774319e+22,1.2116319844161678e+22,2.534294751358151e+22
0.007428809311745634,114.72314858042651,4.765215182830611e+30,2.243151937420443e+28,17994454.60486688,2824496367462621.0,268701489687774.3,2643899358700.4517,3095841756509096.0,2.272979120394436,0.346,0.22488805552432597,5.296801900254501e+35,0.346,3.961849981532758e+22,1.2817057570398444e+22,2.680144224492913e+22
0.00763516506864548,114.72016431309108,5.172490328155145e+30,2.4352840964485603e+28,17994142.294078745,2824373873944844.0,268689840336916.06,2643715813977.5547,3095707430095738.0,2.2729788845329444,0.346,0.22489762182712977,5.2959056966642025e+35,0.346,4.183720361636287e+22,1.3537361605256012e+22,2.829984201110686e+22
0.007841520825545324,114.71709835811552,5.602248076196369e+30,2.63808213717807e+28,17993821.431706548,2824248029661618.0,268677872321542.5,2643527253450.457,3095569429236610.5,2.2729786422082254,0.346,0.22490745066726464,5.294985095258011e+35,0.346,4.411526685819915e+22,1.427721758329878e+22,2.9838049274900364e+22
0.00804787658244517,114.71395072155843,6.055080934205859e+30,2.851833714319928e+28,17993492.018155966,2824118835040972.5,268665585682348.72,2643333678163.6987,3095427754401485.0,2.2729783934202015,0.346,0.22491754208071085,5.294040108663689e+35,0.346,4.645257467782966e+22,1.5036610750011153e+22,3.1415963927818508e+22
0.008254232339345014,114.71072140968762,6.531580366344493e+30,3.076826438831031e+28,17993154.053847667,2823986290524156.0,268652980461299.25,2643135089192.007,3095282406074647.5,2.272978138168801,0.346,0.22492789610429384,5.2930707498542e+35,0.346,4.884900926039707e+22,1.5815525962165659e+22,3.3033483298231405e+22
0.008460588096244859,114.70741042898005,7.032336793682467e+30,3.3133478779142335e+28,17992807.539217327,2823850396565636.0,268640056701627.47,2642931487640.303,3095133384754904.0,2.2729778764539588,0.346,0.22493851277568344,5.292077032147463e+35,0.346,5.1304449847920324e+22,1.6613947688201432e+22,3.469050215971889e+22
0.008666943853144706,114.70401778612184,7.557939594199286e+30,3.56168555501834e+28,17992452.474715613,2823711153633093.5,268626814447835.4,2642722874643.6777,3094980690955572.5,2.272977608275613,0.346,0.2249493921333952,5.2910589692059796e+35,0.346,5.3818772748237825e+22,1.743186000861249e+22,3.638691273962532e+22
0.008873299610044549,114.70054348800826,8.108977102783768e+30,3.822126949838102e+28,17992088.8608082,2823568562207425.0,268613253745693.9,2642509251367.392,3094824325204486.0,2.27297733363371,0.346,0.22496053421678947,5.2900165750365804e+35,0.346,5.639185134416847e+22,1.8269246616346095e+22,3.812260472782237e+22
