rhoc,Tc,R,M,L,Tsurf,StarNum
403.39261684417727,1000000.0,8170817173.537353,1.5443866763777183e+32,4.431796795816995e+28,982.457975463637,0
122.93278942108154,2000000.0,12961296216.651665,1.8714654203552885e+32,2.6174737142750337e+29,1216.0407638067873,1
62.527083778381346,3000000.0,18991899270.927094,2.9951292456375833e+32,1.078409193783434e+30,1431.2432965172973,2
37.20316066741943,4000000.0,26532653338.793877,4.856070868955037e+32,3.287712202809348e+30,1600.054871038578,3
42.593906211853025,5000000.0,38923892450.315025,7.765813388235153e+32,1.4582170062857988e+31,1917.1194664026564,4
50.6209321975708,6000000.0,41834183476.507645,9.360199926104893e+32,4.269742125406342e+31,2419.003698831899,5
58.56789760589599,7000000.0,100000000000.0,1.1310503043206453e+33,1.059456511224994e+32,1963.688301563572,6
66.44814586639404,8000000.0,41634163474.707466,1.2347449314227235e+33,2.327475574684248e+32,3705.084615686726,7
74.2654893875122,9000000.0,42254225480.288025,1.382163748239587e+33,4.663110981977211e+32,4375.580059288447,8
82.02755298614503,10000000.0,44024402496.21962,1.54036335874176e+33,8.684392335750578e+32,5007.718328535463,9
89.73243045806885,11000000.0,100000000000.0,1.749085714481414e+33,1.5245636501993984e+33,3824.618835034475,10
97.36105976104736,12000000.0,100000000000.0,1.9170057901009705e+33,2.548276270609709e+33,4348.739536506191,11
104.83528652191163,13000000.0,48484848536.36363,2.009046912034915e+33,4.0858301007207827e+33,7027.790774275041,12
111.90730419158936,14000000.0,100000000000.0,2.234876957935778e+33,6.320446306766249e+33,5457.436684258747,13
117.93662815093994,15000000.0,100000000000.0,2.3700673142372668e+33,9.45710748420452e+33,6035.890473525227,14
121.57557201385498,16000000.0,100000000000.0,2.5263998207731948e+33,1.3703506782046978e+34,6622.312930564889,15
120.90077571868896,17000000.0,100000000000.0,2.6933745301300766e+33,1.9375373065682267e+34,7221.281710150565,16
114.77614154815674,18000000.0,48464846536.18362,2.8167260472300486e+33,2.8806657535355127e+34,11454.115701167211,17
101.57948970794678,19000000.0,100000000000.0,3.187209209608585e+33,4.700950340407974e+34,9012.560334789086,18
84.66573963165283,20000000.0,100000000000.0,3.6075641891467035e+33,8.679258936536044e+34,10505.637967341529,19
64.75162410736084,21000000.0,67156715704.41043,4.150330591793824e+33,1.711701503189271e+35,15191.968557068094,20
47.40897808074951,22000000.0,79447944815.0315,4.996255551198751e+33,3.500653813167108e+35,16703.124830421057,21
33.983581733703616,23000000.0,100000000000.0,6.120178356568755e+33,7.19029263313201e+35,17823.312047867163,22
24.20284786224365,24000000.0,100000000000.0,7.546844029350556e+33,1.4609790046820856e+36,21279.565841936717,23
17.391980171203613,25000000.0,99119911992.0792,9.147885651617155e+33,2.930253912687319e+36,25435.930462164597,24
14.199088096618652,26000000.0,100000000000.0,1.0288618634282721e+34,6.122755716936312e+36,30446.579023154518,25
14.71948184967041,27000000.0,100000000000.0,1.0702467944472638e+34,1.3955883016569543e+37,37410.29211520676,26
15.239875602722169,28000000.0,100000000000.0,1.1118809865857498e+34,3.085554011915298e+37,45617.875703080805,27
15.754550743103028,29000000.0,100000000000.0,1.1540003318443629e+34,6.679767596082961e+37,55334.005311326924,28
16.26541347503662,30000000.0,100000000000.0,1.1961988999260893e+34,1.404334530404212e+38,66629.93857850027,29
16.774370002746583,31000000.0,100000000000.0,1.2387298122309699e+34,2.8755344090621373e+38,79704.23751141258,30
17.277607917785645,32000000.0,100000000000.0,1.2817824655514727e+34,5.789640777494e+38,94943.37677967097,31
17.77512722015381,33000000.0,100000000000.0,1.325140213778444e+34,1.138466138512834e+39,112429.89336218557,32
18.268834114074707,34000000.0,100000000000.0,1.3686928014702968e+34,2.187297386456628e+39,132366.69575361063,33
18.268834114074707,34000000.0,100000000000.0,1.3686928014702968e+34,2.187297386456628e+39,132366.69575361063,33
18.756822395324708,35000000.0,100000000000.0,1.4128584445260284e+34,4.1362356809213635e+39,155221.93335183404,34
19.237185859680174,36000000.0,100000000000.0,1.4575812240320976e+34,7.698263854598062e+39,181300.90306643932,35
19.711830711364748,37000000.0,100000000000.0,1.502543358775142e+34,1.4048463045756485e+40,210721.55992834974,36
20.18266315460205,38000000.0,100000000000.0,1.5479378084712245e+34,2.51767314348153e+40,243810.0514255789,37
20.643964576721192,39000000.0,100000000000.0,1.594077940113816e+34,4.46144972045505e+40,281300.67222949927,38
21.095734977722167,40000000.0,100000000000.0,1.6408952620693478e+34,7.799562956675983e+40,323459.07202607795,39
21.539880561828614,41000000.0,100000000000.0,1.6881716988014302e+34,1.341935446564237e+41,370454.3300996201,40
21.976401329040527,42000000.0,100000000000.0,1.7359099242699364e+34,2.2742743696453427e+41,422680.7637893137,41
22.403391075134277,43000000.0,100000000000.0,1.784492775138296e+34,3.8137624288586895e+41,480994.57516828924,42
22.818943595886232,44000000.0,100000000000.0,1.833965324304159e+34,6.339966691362551e+41,546164.55683486,43
23.22496509552002,45000000.0,100000000000.0,1.8841202715873562e+34,1.0402361178509118e+42,618137.0162327209,44
23.61764316558838,46000000.0,100000000000.0,1.9350055443449024e+34,1.6852863684361626e+42,697381.1370157831,45
24.00460262298584,47000000.0,100000000000.0,1.9865359171169169e+34,2.6988075994026232e+42,784503.2559040667,46
24.376312446594238,48000000.0,100000000000.0,2.0391887628880816e+34,4.291170853155136e+42,880938.7643280596,47
24.732772636413575,49000000.0,100000000000.0,2.0930006641389687e+34,6.771400188297474e+42,987350.589012621,48
25.07588939666748,50000000.0,100000000000.0,2.1478049134354093e+34,1.0572767915129497e+43,1103694.666905917,49
25.40756893157959,51000000.0,100000000000.0,2.2034835445510687e+34,1.6351649375585451e+43,1230813.2440694524,50
25.723998832702637,52000000.0,100000000000.0,2.2603054415309677e+34,2.507741737525905e+43,1369690.5875377608,51
26.023272895812987,53000000.0,100000000000.0,2.318421449773022e+34,3.8149160503615375e+43,1521153.4110495362,52
26.30920352935791,54000000.0,100000000000.0,2.3776775415649855e+34,5.758749684130293e+43,1686101.907186533,53
26.577978324890136,55000000.0,100000000000.0,2.4382694186107943e+34,8.628158682928053e+43,1865440.0654998466,54
26.82959728240967,56000000.0,100000000000.0,2.50024517004891e+34,1.2834461684730913e+44,2060137.3871756,55
27.064060401916503,57000000.0,100000000000.0,2.5636431372351276e+34,1.8959343815888036e+44,2271211.5853832467,56
27.281367683410643,58000000.0,100000000000.0,2.62847174562797e+34,2.7820543788096676e+44,2499730.4062542897,57
27.47961292266846,59000000.0,100000000000.0,2.694929086615724e+34,4.056016264936651e+44,2746797.802278888,58
27.658796119689942,60000000.0,100000000000.0,2.7630845749354855e+34,5.876602005123091e+44,3013584.2609672328,59
27.818917274475098,61000000.0,100000000000.0,2.8328764085347437e+34,8.463331892889029e+44,3301316.118597753,60
27.959976387023925,62000000.0,100000000000.0,2.904396473238973e+34,1.2118154441347496e+45,3611277.7329808027,61
