r/R,rho(r),L(r),M(r),T(r),Pgas,Pdeg,Ppho,P,dlogP/dlogT,kappa,kappaff,kappaHm,kappaes,dL/dr,dLpp/dr,dLcno/dr
1e-09,17.77512722015381,0.0,0.0,33000000.0,802560779541389.9,12009903215766.893,29905145963975.984,844475828721132.8,2.1183158468162944,0.346,0.007299047169793947,4.891835297883163e+37,0.346,8649089104953.47,268485327.5615817,8648820619625.909
0.00010001100090009001,17.775126682634166,2.883980891687454e+29,7.448085343187065e+22,32999999.30962124,802560738481934.1,12009902610468.008,29905143461445.445,844475784553847.5,2.118315846355051,0.346,0.007299047549738543,4.891834302858954e+37,0.346,8.650988040230175e+22,2.685443637021053e+18,8.650719495866471e+22
0.00020002100180018,17.77512507009684,2.307148407655082e+30,5.958378627640431e+23,32999997.238512665,802560615305221.2,12009900794595.75,29905135953955.203,844475652053772.2,2.1183158449713404,0.346,0.007299048689557258,4.891831317827346e+37,0.346,3.460355666516953e+23,1.0741662496856992e+19,3.460248249891985e+23
0.00030003100270027005,17.77512238254309,7.786605849841098e+30,2.0109430388447658e+24,32999993.786675714,802560410011361.9,12009897768151.754,29905123441513.29,844475431221027.0,2.1183158426651625,0.346,0.0072990505892498074,4.891826342793687e+37,0.346,7.785755739211265e+23,2.4168642643234275e+19,7.785514052784833e+23
0.00040004100360036,17.775118619973263,1.8457097619121286e+31,4.7666679450243475e+24,32999988.954110686,802560122600409.4,12009893531136.781,29905105924125.508,844475122055671.6,2.1183158394365176,0.346,0.007299053248816852,4.8918193777638525e+37,0.346,1.3841274275031025e+24,4.296636084868088e+19,1.3840844611422538e+24
0.00050005100450045,17.775113782387294,3.6048886232990384e+31,9.309883087234326e+24,32999982.740817316,802559753072396.6,12009888083551.273,29905083401797.5,844474724557745.5,2.118315835285405,0.346,0.007299056668259681,4.891810422745075e+37,0.346,2.1626876628347867e+24,6.713478459483289e+19,2.162620528050192e+24
0.0006000610054005401,17.775107869785423,6.229217692494537e+31,1.6087458031703015e+25,32999975.146795657,802559301427391.1,12009881425396.158,29905055874537.934,844474238727325.2,2.1183158302118232,0.346,0.00729906084757974,4.891799477747227e+37,0.346,3.114251825522047e+24,9.667387207249774e+19,3.114155151649975e+24
0.0007000710063006301,17.7751008821682,9.891711764448536e+31,2.554626140495548e+25,32999966.17204606,802558767665493.4,12009873556672.86,29905023342358.445,844473664564524.6,2.118315824215774,0.346,0.0072990657867786505,4.891786542782793e+37,0.346,4.23881447137081e+24,1.3158357218173965e+20,4.238682887798629e+24
0.0008000810072007201,17.775092819536482,1.4765379905711176e+32,3.813316089381357e+25,32999955.816569205,802558151786837.0,12009864477383.29,29904985805273.746,844473002069494.0,2.1183158172972543,0.346,0.007299071485858188,4.891771617866897e+37,0.346,5.536369166425696e+24,1.718638245319871e+20,5.536197302601164e+24
0.00090009100810081,17.77508368189143,2.1023225454432803e+32,5.42950232453959e+25,32999944.08036608,802557453791590.5,12009854187529.857,29904943263301.55,844472251242422.0,2.118315809456265,0.346,0.007299077944820282,4.891754703017304e+37,0.346,7.00690848701613e+24,2.175145594421641e+20,7.006690972456687e+24
0.0010001010090009,17.775073469234513,2.8838246020364022e+32,7.4478714267117876e+25,32999930.963437974,802556673679955.0,12009842687115.46,29904895716462.58,844471412083533.1,2.118315800692806,0.346,0.007299085163667037,4.891735798254387e+37,0.346,8.650424019809556e+24,2.6853569794084166e+20,8.650155484111615e+24
0.00110011100990099,17.7750621815675,3.8383433484855606e+32,9.913109882669161e+25,32999916.465786505,802555811452165.1,12009829976143.484,29904843164780.56,844470484593089.2,2.118315791006877,0.346,0.007299093142400706,4.891714903601161e+37,0.346,1.0466906361872122e+25,3.2492715176641344e+20,1.0466581434720353e+25
0.0012001210108010803,17.775049818892477,4.983177400085862e+32,1.2869904085212616e+26,32999900.587413587,802554867108490.0,12009816054617.812,29904785608282.246,844469468771390.0,2.118315780398478,0.346,0.007299101881023724,4.89169201908326e+37,0.346,1.2456345120736658e+25,3.8668882336729386e+20,1.2455958431913288e+25
0.0013001310117011701,17.775036381212338,6.335624548085437e+32,1.636294028026168e+26,32999883.32832208,802553840649269.6,12009800922543.398,29904723046999.664,844468364618812.8,2.11831576886761,0.346,0.00729911137953833,4.891667144729857e+37,0.346,1.4618728914484416e+25,4.53820605902198e+20,1.4618275093878514e+25
0.00140014101260126,17.775021868537106,7.912979362951767e+32,2.04369040311045e+26,32999864.688523296,802552732075384.5,12009784579933.344,29904655480997.395,844467172136315.1,2.11831575641428,0.346,0.007299121637942593,4.8916402805845575e+37,0.346,1.6954045371921548e+25,5.263223832412855e+20,1.6953519049538309e+25
0.0015001510135013501,17.77500628087022,9.732539847565877e+32,2.5136481622166806e+26,32999844.668020677,802551541387237.5,12009767026793.506,29904582910313.34,844465891324344.2,2.1183157430384894,0.346,0.007299132656239097,4.89161142668172e+37,0.346,1.9462281132519423e+25,6.041940299649886e+20,1.946167693848946e+25
0.00160016101440144,17.77498961821239,1.1811603082408334e+33,3.0506359251080124e+26,32999823.26681435,802550268585040.8,12009748263126.807,29904505334975.297,844464522183142.9,2.118315728740236,0.346,0.007299144434432518,4.8915805830530885e+37,0.346,2.214342184651645e+25,6.874354113643436e+20,2.2142734411105086e+25
0.0017001710153015301,17.774971880564603,1.416746348708561e+33,3.6591222675246115e+26,32999800.48490471,802548913669037.0,12009728288936.63,29904422755013.895,844463064712987.5,2.1183157135195168,0.346,0.007299156972527727,4.89154774973296e+37,0.346,2.499745217504961e+25,7.760463834415584e+20,2.499667612866616e+25
0.00180018101620162,17.774953067928088,1.6817412820330074e+33,4.3435757211836584e+26,32999776.322292384,802547476639498.4,12009707104226.766,29904335170462.52,844461518914187.6,2.118315697376331,0.346,0.007299170270529793,4.891512926758157e+37,0.346,2.8024355790261735e+25,8.700267929103008e+20,2.802348576346882e+25
0.0019001910171017099,17.774933180304323,1.9778740180000003e+33,5.10846477377935e+26,32999750.778978247,802545957496726.0,12009684709001.453,29904242581357.31,844459884787084.9,2.1183156803106753,0.346,0.007299184328443986,4.891476114168027e+37,0.346,3.1224115375416325e+25,9.693764771960114e+20,3.1223145998939126e+25
0.0020002010180017998,17.774912217695057,2.3068732003079568e+33,5.958257868982896e+26,32999723.854963437,802544356241052.0,12009661103265.365,29904144987737.266,844458162332054.8,2.1183156623225488,0.346,0.007299199146275762,4.89143731200448e+37,0.346,3.4596712625019918e+25,1.0740952644362385e+21,3.459563852975548e+25
0.0021002110189018903,17.77489018010228,2.6704672065678864e+33,6.89742340644252e+26,32999695.55024932,802542672872836.9,12009636287023.598,29904042389644.08,844456351549504.5,2.118315643411949,0.346,0.007299214724030786,4.891396520311933e+37,0.346,3.814212824495073e+25,1.1841829734809888e+21,3.8140944061977246e+25
0.00220022101980198,17.77486706752824,3.070384148303384e+33,7.930429741783459e+26,32999665.864837524,802540907392471.8,12009610260281.682,29903934787122.29,844454452439875.8,2.1183156235788743,0.346,0.007299231061714912,4.891353739137358e+37,0.346,4.186034195259531e+25,1.2996394138931052e+21,4.185904231318141e+25
0.00230023102070207,17.774842879975438,3.508351870950641e+33,9.06174518660797e+26,32999634.798729923,802539059800376.5,12009583023045.584,29903822180219.207,844452465003641.4,2.1183156028233228,0.346,0.007299248159334187,4.891308968530258e+37,0.346,4.575133247699232e+25,1.4204643859486652e+21,4.5749912012606365e+25
0.00240024102160216,17.774817617446633,3.986097953858435e+33,1.0295838008495322e+27,32999602.351928633,802537130097002.1,12009554575321.705,29903704568984.906,844450389241308.8,2.118315581145292,0.346,0.007299266016894865,4.891262208542663e+37,0.346,4.981507755898315e+25,1.546657680637401e+21,4.981353090130251e+25
0.00250025102250225,17.77479127994483,4.5053497102881325e+33,1.1637176431001785e+27,32999568.524436023,802535118282828.0,12009524917116.87,29903581953472.258,844448225153417.1,2.118315558544782,0.346,0.0072992846344033906,4.891213459229148e+37,0.346,5.405155395136998e+25,1.6782190796631326e+21,5.404987573229032e+25
0.0026002610234023404,17.774763867473297,5.067834187413696e+33,1.3090228633660676e+27,32999533.31625471,802533024358363.4,12009494048438.352,29903454333736.914,844445972740538.6,2.11831553502179,0.346,0.007299304011866404,4.891162720646819e+37,0.346,5.846073741908075e+25,1.8151483554442377e+21,5.84589222707253e+25
0.00270027102430243,17.77473538003555,5.675278166321669e+33,1.4659462751982282e+27,32999496.727387555,802530848324148.1,12009461969293.838,29903321709837.312,844443632003279.2,2.118315510576314,0.346,0.0072993241492907415,4.891109992855317e+37,0.346,6.304260273934213e+25,1.9574452711141278e+21,6.304064529407102e+25
0.00280028102520252,17.77470581763537,6.329408162011198e+33,1.634934687745395e+27,32999458.757837676,802528590180750.5,12009428679691.46,29903184081834.684,844441202942276.8,2.118315485208354,0.346,0.007299345046683439,4.891055275916823e+37,0.346,6.77971237018586e+25,2.105109580521758e+21,6.779501859227807e+25
0.00290029102610261,17.774675180276773,7.031950423394006e+33,1.816434905754e+27,32999419.40760842,802526249928769.4,12009394179639.781,29903041449792.99,844438685558202.1,2.118315458917908,0.346,0.007299366704051737,4.890998569896036e+37,0.346,7.272427310899908e+25,2.2581410282321446e+21,7.272201496797085e+25
0.0030003010270027003,17.774643467964047,7.784630933294418e+33,2.0108937295681805e+27,32999378.67670341,802523827568833.1,12009358469147.793,29902893813779.06,844436079851760.0,2.1183154317049744,0.346,0.007299389121403049,4.890939874860215e+37,0.346,7.782402277599152e+25,2.4165393495269227e+21,7.782160623664202e+25
0.00310031102790279,17.774610680701727,8.589175408449334e+33,2.218757955129771e+27,32999336.565126486,802521323101599.6,12009321548224.922,29902741173862.42,844433385823687.0,2.1183154035695524,0.346,0.00729941229874501,4.890879190879128e+37,0.346,8.309634353112349e+25,2.5803042704048977e+21,8.30937632268531e+25
0.00320032102880288,17.7745768184946,9.447309299508266e+33,2.4404743739783138e+27,32999293.072881762,802518736527756.5,12009283416881.031,29902583530115.445,844430603474752.9,2.11831537451164,0.346,0.00729943623608544,4.890816518025095e+37,0.346,8.85412052159515e+25,2.7494355075826587e+21,8.853845578044392e+25
0.00330033102970297,17.774541881347716,1.0360757791033299e+34,2.676489773251045e+27,32999248.199973583,802516067848021.0,12009244075126.406,29902420882613.25,844427732805760.6,2.1183153445312373,0.346,0.007299460933432355,4.890751856372962e+37,0.346,9.415857668551473e+25,2.9239327684951624e+21,9.415565275274624e+25
0.00340034103060306,17.774505869266367,1.133124580149911e+34,2.927250935682906e+27,32999201.946406554,802513317063140.5,12009203522971.775,29902253231433.77,844424773817546.0,2.1183153136283424,0.346,0.007299486390793968,4.890685206000113e+37,0.346,9.994842580855974e+25,3.103795751296387e+21,9.994532201280843e+25
0.0035003510315031504,17.774468782256104,1.2360497983292973e+34,3.1932046396065407e+27,32999154.31218552,802510484173891.5,12009161760428.293,29902080576657.684,844421726510977.5,2.118315281802954,0.346,0.0072995126081786925,4.890616566986462e+37,0.346,1.0591071946776862e+26,3.2890241448599696e+21,1.0590743044362374e+26
0.00360036103240324,17.77443062032274,1.3450238722714754e+34,3.4747976589522936e+27,32999105.29731557,802507569181080.1,12009118787507.559,29901902918368.47,844418590886956.2,2.118315249055072,0.346,0.0072995395855951365,4.89054593941446e+37,0.346,1.1204542355999831e+26,3.479617628779897e+21,1.1204194394236956e+26
0.00370037103330333,17.774391383472327,1.4602192139976896e+34,3.772476763248209e+27,32999054.901802056,802504572085543.0,12009074604221.582,29901720256652.39,844415366946417.0,2.1183152153846954,0.346,0.007299567323052106,4.890473323369086e+37,0.346,1.1835250299652175e+26,3.6755758733711806e+21,1.1834882742064839e+26
