r/R,rho(r),L(r),M(r),T(r),Pgas,Pdeg,Ppho,P,dlogP/dlogT,kappa,kappaff,kappaHm,kappaes,dL/dr,dLpp/dr,dLcno/dr
1.5501888342657167e-21,60.35047832637605,4.1755300896586975e-28,2.527954924676974e-28,8500000.0,685981485673250.1,92112698543476.72,131633330553.70247,778225817547280.5,3.0590434018348573,3.366318783657682,3.366318783657682,4.498323640714751e+32,0.34,1.2526590268976092e-17,1.2526416787757011e-17,1.7348121908106928e-22
0.0005390835579514824,60.350163410848104,1.7559843773825918e+25,1.0631203002147734e+25,8499978.020837978,685976132354802.8,92111897454309.95,131631969057.66571,778219661778170.4,3.059052620186611,3.3663369536388137,3.3663369536388137,4.4982072204478104e+32,0.34,1.5148401627631204e+18,1.5148191845473196e+18,20978215800662.7
0.0010781671159029648,60.34921867377154,1.4047349586690255e+26,8.504882518268802e+25,8499912.083949486,685960072666821.6,92109494227715.0,131627884669.94055,778201194779206.5,3.0590710534194616,3.3663914638012398,3.3663914638012398,4.497857978933794e+32,0.34,6.058982923524153e+18,6.058899026240416e+18,83897283737814.38
0.0016172506738544473,60.347644143667814,4.7406849480832e+26,2.8703529161210085e+26,8499802.19112711,685933307411357.2,92105488986404.56,131621077691.66148,778170417475453.5,3.05909870262895,3.366482314802184,3.366482314802184,4.497275974026972e+32,0.34,1.3631295222391896e+19,1.3631106511911647e+19,188710480249419.75
0.0021563342318059297,60.345439868071544,1.1236198480802541e+27,6.803650394465814e+26,8499648.345358413,685895837925088.1,92099881934889.45,131611548624.67467,778127331408602.4,3.0591355685164103,3.366609507736923,3.366609507736923,4.4964613021324924e+32,0.34,2.4229889035142525e+19,2.422955369516037e+19,335339982155682.1
0.0026954177897574125,60.3426059135285,2.1943237879222681e+27,1.328800524724391e+27,8499450.550825762,685847666079204.5,92092673359462.36,131599298171.46808,778071938736838.4,3.0591816510319787,3.3667730441386876,3.3667730441386876,4.495414098178194e+32,0.34,3.7852121986432156e+19,3.7851598309491425e+19,523676940731482.75
0.0032345013477088945,60.33914236559302,3.791271552720469e+27,2.2960882300665717e+27,8499208.812906116,685788794279249.5,92083863628175.56,131584327235.07483,778004242234660.1,3.059236951149886,3.3669729259785197,3.3669729259785197,4.494134535575279e+32,0.34,5.449459820793575e+19,5.449384462635046e+19,753581585282012.6
0.0037735849056603774,60.33504932882463,6.019423202493946e+27,3.645954673583499e+27,8498923.138170747,685719225464916.4,92073453190812.31,131566636918.949,777924245292647.5,3.059301468184636,3.3672091556650696,3.3672091556650696,4.4926228261677515e+32,0.34,7.415316944105305e+19,7.415214455769694e+19,1024883356095999.2
0.004312668463611859,60.330326926783876,8.983581476967245e+27,5.4421024192872e+27,8498593.534384891,685638963109796.0,92061442578851.78,131546228526.81366,777831951917174.6,3.0593752029573182,3.3674817360443674,3.3674817360443674,4.490879220170669e+32,0.34,9.682293638372121e+19,9.682159900265462e+19,1337381066615424.5
0.004851752021563342,60.324975302027504,1.2788365704735983e+28,7.748206089314824e+27,8498220.01050734,685548011221083.8,92047832405427.5,131523103562.48077,777727366730073.8,3.0594581556695624,3.367790670399561,3.367790670399561,4.488904006097185e+32,0.34,1.2249825028077024e+20,1.224965594376756e+20,1690843094625221.8
0.005390835579514825,60.31899461610273,1.7538185771920506e+28,1.0627908378254564e+28,8497802.576689992,685446374339238.9,92032623365279.62,131497263729.64587,777610494968248.0,3.05955032691677,3.3681359624505514,3.3681359624505514,4.486697510674616e+32,0.34,1.5117271475715847e+20,1.5117062974955625e+20,2085007602231670.5
0.005929919137466307,60.312385049540914,2.333721615883208e+28,1.4144816069888836e+28,8497341.244277311,685334057537598.5,92015816234700.77,131468710931.65266,777481342483231.0,3.0596517170129864,3.368517616353661,3.368517616353661,4.4842600987492116e+32,0.34,1.828391878933199e+20,1.8283666831053554e+20,2519582784363050.0
0.006469002695417789,60.305146801850384,3.0289370052979502e+28,1.8362496056643624e+28,8496836.025805736,685211066421946.4,91997411871475.4,131437447271.23128,777339915740693.0,3.0597623264676135,3.368935636701221,3.368935636701221,4.481592173179979e+32,0.34,2.174897845417582e+20,2.1748679029461267e+20,2994247145492386.0
0.007008086253369272,60.297280091508576,3.849827354683523e+28,2.334447136205156e+28,8496286.935003033,685077407130038.0,91977411214813.16,131403475050.20984,777186221819901.5,3.059882155837032,3.3693900285211056,3.3693900285211056,4.478694174721507e+32,0.34,2.5511587888392067e+20,2.551123702341164e+20,3508649804247974.5
0.007547169811320755,60.28878515595329,4.806723992862772e+28,2.915421716651783e+28,8495693.986787578,684933086331078.0,91955815285275.31,131366796769.19754,777020268413122.5,3.0600112057100946,3.369880797276249,3.369880797276249,4.4755665818957614e+32,0.34,2.957081072262823e+20,2.957040448154568e+20,4062410825543972.5
0.008086253369272236,60.279662251573434,5.909924407458357e+28,3.5855156836708634e+28,8495057.197267575,684778111225154.5,91932625184695.52,131327415127.2409,776842063824977.1,3.0601494767515485,3.3704079488641137,3.3704079488641137,4.472209910853005e+32,0.34,3.392563710344747e+20,3.392517159128948e+20,4655121579830700.0
0.008625336927223719,60.269911653698756,7.169689695078164e+28,4.351065795884682e+28,8494376.583740234,684612489542628.9,91907842096093.8,131285333021.45404,776651616971744.1,3.06029696966552,3.3709714896160885,3.3709714896160885,4.468624715221942e+32,0.34,3.857498402041997e+20,3.857445538590707e+20,5286345129032467.0
0.009164420485175203,60.259533656589,8.596242023281852e+28,5.218402837621277e+28,8493652.16469085,684436229543477.8,91881467283584.19,131240553546.6195,776448937380608.5,3.060453684950398,3.3715714262968906,3.3715714262968906,4.464811585948927e+32,0.34,4.3517695656755095e+20,4.351710009509123e+20,5955616638707996.0
0.009703504043126684,60.24852857342225,1.0199762105148769e+29,6.193851223115578e+28,8492883.959791854,684249340016593.5,91853502092276.5,131193079994.76434,776234035188864.9,3.060619623667977,3.3722077661038803,3.3722077661038803,4.4607711511266015e+32,0.34,4.8752543763329633e+20,4.875187751894804e+20,6662443815939228.0
0.010242587601078167,60.23689673628249,1.1990386687260135e+29,7.283728601191783e+28,8492071.989901781,684051830279037.4,91823947948171.16,131142915854.70792,776006921143063.1,3.0607947865664,3.3728805166663642,3.3728805166663642,4.456504075811795e+32,0.34,5.42782280559557e+20,5.427748742521845e+20,7406307372422979.0
0.01078167115902965,60.22463849614649,1.3978206051908117e+29,8.494345460457972e+28,8491216.277064193,683843710175249.9,91792806358048.31,131090064811.5838,775767606598109.8,3.0609791742207384,3.3735896860448307,3.3735896860448307,4.452011061832941e+32,0.34,6.009337663572269e+20,6.009255796957146e+20,8186661512211109.0
0.011320754716981131,60.211754222869914,1.6173261534282714e+29,9.832004735035212e+28,8490316.844506525,683624990076216.0,91760078909350.34,131034530746.33406,775516103516312.5,3.0611727879285486,3.3743352827301605,3.3743352827301605,4.447292847586931e+32,0.34,6.619654643223917e+20,6.619564613879482e+20,9002934443516028.0
0.011859838274932614,60.198244305172594,1.8585543055523585e+29,1.1303001410865437e+29,8489373.716638872,683395680878583.6,91725767270057.94,130976317735.17737,775252424466376.8,3.061375628338776,3.375117315642794,3.375117315642794,4.4423502078256094e+32,0.34,7.25862236695894e+20,7.2585238216698e+20,9854528913970918.0
0.012398921832884097,60.184109150623215,2.1224986672318416e+29,1.291362213261181e+29,8488386.919052733,683155794003742.8,91689873188560.56,130915430049.05118,774976582622352.4,3.0615876965168,3.375935794131833,3.375935794131833,4.437183953431987e+32,0.34,7.926082435481212e+20,7.925975027253523e+20,1.0740822768707376e+16
0.012938005390835578,60.16934918562309,2.410147214392553e+29,1.467014481119596e+29,8487356.478519658,682905341396854.0,91652398493519.78,130851872153.02594,774688591762526.8,3.061808993606176,3.3767907279741376,3.3767907279741376,4.4317949311861614e+32,0.34,8.621869478869736e+20,8.621752867174431e+20,1.1661169530586632e+16
0.013477088948787063,60.153964855389326,2.7224820517266638e+29,1.6578838231982566e+29,8486282.422989875,682644335525839.4,91613345093727.17,130785648705.6953,774388466268272.2,3.062039520420601,3.3776821273733324,3.3776821273733324,4.4261840235212615e+32,0.34,9.345811209869095e+20,9.345685060879074e+20,1.2614899001896812e+16
